ORF ," gene name, possible product and function",0 h,1 h,2 h,3 h,4 h,5 h,6 h,7 h,8 h
PMM0549 ," csoS1 carboxysome shell protein 1, carbon fixation",1.7,1.31**,-1.22,-1.59,-1.76,-2.07,-2.03,-2.16,-2.58
PMM0550 ," rbcL rubisco large subunit, carbon fixation",1.79,2.01***,1.38**,1.18*,-1.41,-1.69,-1.62,-2,-2.05
PMM0551 ," rbcS rubisco small subunit, carbon fixation",1.63,1.85***,1.36**,1.17*,-1.43,-1.67,-1.62,-2.04,-2.01
PMM0815, hli19/09 high-light inducible stress response protein,1.15,1.23*,-1.27,-1.45,-1.25,-1.38,-1.45,-1.58,-1.39
PMM0816, hli18/08 high-light inducible stress response protein,1.09,1.29**,-1.12,-1.26,-1.26,-1.5,-1.56,-1.64,-1.56
PMM0817, hli17/07 high-light inducible stress response protein,1.16,1.35***,-1.17,-1.19,-1.24,-1.47,-1.46,-1.64,-1.6
PMM0818, hli16/06 high-light inducible stress response protein,1.14,1.33**,-1.18,-1.24,-1.28,-1.53,-1.49,-1.66,-1.7
PMM1396 , hli19/09 high-light inducible stress response protein,1.15,1.23*,-1.27,-1.45,-1.25,-1.38,-1.45,-1.58,-1.39
PMM1397 , hli18/08 high-light inducible stress response protein,1.09,1.29**,-1.12,-1.26,-1.26,-1.5,-1.56,-1.64,-1.56
PMM1398 , hli17/07 high-light inducible stress response protein,1.16,1.35***,-1.17,-1.19,-1.24,-1.47,-1.46,-1.64,-1.6
PMM1399 , hli16/06 high-light inducible stress response protein,1.14,1.33**,-1.18,-1.24,-1.28,-1.53,-1.49,-1.66,-1.7
PMM0970 , urtA urea ABC transporter periplasmic binding protein,1.34,1.43***,1.01,-1.24,-1.51,-1.77,-1.59,-1.75,-1.52
PMM1135 , hli14 high-light inducible stress response protein,1.24,1.26**,-1.17,-1.26,-1.54,-1.76,-1.73,-1.88,-1.94
PMM1483 ," rpoC2 RNA polymerase subunit, transcription",1.01,1.26*,-1.02,-1.28,-1.49,-1.59,-1.61,-1.67,-1.67
PMM1536 ," rps11 ribosome small subunit protein 11, translation",1.35,1.19*,-1.09,-1.35,-1.8,-1.94,-1.95,-2.05,-2.09
PMM1544 ," rpl6 ribosome large subunit protein 6, translation",1.02,1.23*,-1.05,-1.44,-1.7,-1.74,-2.04,-1.86,-1.97
PMM1545 ," rps8 ribosome small subunit protein 8, translation",1.07,1.21*,-1.19,-1.39,-1.68,-1.86,-1.93,-1.85,-1.9
PMM1546 ," rpl5 ribosome large subunit protein 5, translation",-1.06,1.33**,-1.09,-1.33,-1.82,-1.94,-2.22,-1.94,-1.94
PMM1549 ," rps17 ribosome small subunit protein 17, translation",-1.13,1.22*,-1.17,-1.4,-1.97,-2.09,-2.15,-2.1,-1.98
PMM1629 ," rpoD type II alternative sigma factor, transcription",1.1,1.61***,-1.09,-1.34,-1.38,-1.74,-1.8,-1.84,-1.92
PMM0014 ," dus tRNA dihydrouridine synthase, RNA modification",1.2,-1.28,1.23*,1.21*,1.44*,1.48**,1.06,1.49**,1.21
PMM0030 , unknown,-1.1,-1.15,1.09,1.66**,1.41*,1.08,-1.41,1,1
PMM0334 , unknown,1.11,-1.49,-1.07,1.05,1.2,1.26*,-1.11,1.04,-1.17
PMM0368 , unknown,1.02,-1.05,1.21*,1.70***,1.85**,1.61***,1.68***,1.70***,1.32
PMM0426 ," sun tRNA and rRNA methyltransferase, RNA modification",1.09,-1.66,-1.48,-1.2,1.48*,1.41**,1.23,1.81***,1.49*
PMM0684 , unknown (homologous to PMM0819 and PMM1134),1.01,-1.06,1.27*,1.58***,1.35,1.16,1.08,1.07,-1.16
PMM0685 , unknown (homologous to PMM1427),-1.05,-1.36,1.77***,2.65***,2.37**,2.01***,1.44*,1.49*,1.39*
PMM0686 ," clpS-like protease adaptor, protease inhibition and redirection",-1.07,-1.48,3.91***,8.95***,14.00***,11.71***,8.55***,10.82***,8.75***
PMM0819 , unknown (homologous to PMM0684 and PMM1134),1.28,-1.01,1.52***,2.16***,2.32**,1.84***,1.66***,1.57***,1.21
PMM0830 ," DHPS-like folate biosynthesis, nucleotide & amino acid synthesis",1.16,-1.84,-1.69,-1.38,1.38*,1.36**,1.1,1.18,-1.12
PMM0936 , umuD SOS response to DNA damage,1.01,-1.55,1.31*,1.39***,1.75**,1.53***,1.15,1.43**,1.1
PMM1114 , unknown,1.26,-1.81,-1.05,-1.18,1.22,1.29*,1.05,1.04,1.02
PMM1115 ," crtH, phytoene dehydrogenase, secondary metabolite biosynthesis",1.01,-1.42,-1.15,-1.07,1.26,1.17*,-1.08,1,-1.14
PMM1187 ," AAA ATPase family, protein turnover, stress response",1.01,-1.39,1.09,1.21*,1.56*,1.45**,1,1.27*,1.15
PMM1201,"dTDP-D-glucose 4,6-dehydratase, cell envelope biogenesis",1.27,-1.63,-1.43,-1.16,1.22,1.27**,1.02,1.17,-1.08
PMM1248 , unknown,1.08,-2.27,-1.76,-1.43,1.37*,1.60***,1.12,1.33*,1.25
PMM1284 , phoH-like phosphate stress ATPase,1.13,-1.34,1.06,1.11,1.80**,1.56***,1.12,1.26*,1.07
PMM1403 ," HNH nuclease domain, site-specific endonuclease",1.11,-1.88,-1.56,-1.6,1.24,1.45**,1.11,1.56**,1.51*
PMM1426 , unknown,1.47,-2.5,-2.05,-1.82,1.16,1.49**,1.18,1.31*,1.36
PMM1427 , unknown (homologous to PMM0685),1,-1.2,1.23*,1.71***,1.93**,1.74**,1.52**,1.54**,1.35
PMM1428 , unknown,1.02,-1.27,-1.03,1.03,1.60**,1.50**,1.16,1.32*,1.04
PMM1501 ," rne RNase E, mRNA degradation",1.01,-1.16,2.44***,3.51***,3.43***,2.91***,1.83***,2.09***,1.72*
PMM1502 ," rnhB RNase HII, DNA replication and repair",1.13,-2.16,1.47*,2.25***,3.55***,2.91***,1.64**,2.52***,2.09**
PMM1517 , unknown,-1.06,-1.58,-1.32,1.03,1.39*,1.31*,1.1,1.06,1.15
PMM1529 ," prfA peptide release factor, translation",1.31,-1.11,1.1,1.52***,1.67**,1.29**,-1.04,1.17,-1.1
