Gene,Description,Cluster,0,16,28,53,R*
P9313_01131 (PMT0107),conserved hypothetical protein,14,-0.19,0.45,0.06,-1.24**,"0.01"
P9313_01141 (PMT0108),"ABC transporter, ATP binding protein",13,0.04,0.27,-0.20,-1.02**,"-0.24"
P9313_01161 (PMT0110),conserved hypothetical protein,13,-0.33,0.37,-0.14,-1.64**,"-0.02"
P9313 01731,conserved hypothetical protein,10,-0.09,0.86,0.31,-1.51**,"-0.30"
P9313 01981,conserved hypothetical protein,19,0.06,1.71**,0.68,-0.05,"-1.28**"
P9313 02141,,20,-0.54,1.55**,0.41,0.33,"0.37"
P9313 02281,,19,0.14,1.65**,0.46,0.07,"-0.50"
P9313 02851,,18,0.25,0.69,0.29,-1.33**,"-0.38"
P9313 03041,,17,-0.24,-0.40,-0.62,-1.03**,"2.00**"
P9313_03111,,26,0.24,-0.39,1.18**,1.10**,"-0.24"
P9313_03341 (PMT0283)**,"glycyl-tRNA synthetase, alpha subunit (glyQ)",4,-0.11,1.95**,1.83**,1.89**,"-1.71**"
P9313_03361 (PMT0284),possible porin (som),2,-0.19,0.32,0.27,1.51**,"-1.75**"
P9313_03371 (PMT0285),possible Peptidase family M20/M25/M40,3,-0.05,0.52,0.14,1.35**,"-1.93**"
P9313_03381 (PMT0286),uncharacterized iron-regulated protein (piuC),4,0.02,1.11**,0.74,1.18**,"-0.99"
P9313_03391 (PMT0287),putative iron ABC transporter substrate binding protein (futA1),4,-0.26,1.19**,0.81,2.03**,"-2.72**"
P9313 03491,,14,0.07,-0.38,0.06,-1.03**,"0.28"
P9313_03641 (PMT0303),possible Kelch motif,38,0.35,0.41,0.70,1.22**,"-1.01**"
P9313 03841,conserved hypothetical protein,30,-0.50,-1.36**,-0.45,-0.64,"0.69"
P9313_03941 (PMT0328),"possible bromodomain adjacent to zinc finger domain, 2B...",13,-0.17,0.10,-0.16,-1.13**,"-0.11"
P9313_05621 (PMT0477),hypothetical,8,0.02,1.07**,0.10,0.12,"0.04"
P9313 05661,conserved hypothetical protein,17,-0.52,0.28,-0.19,-1.23**,"0.08"
P9313 05761,,8,-0.10,0.93,0.26,1.07**,"0.19"
P9313 05891,,4,-0.09,1.57**,1.89**,3.59**,"-3.72**"
P9313_05901 (PMT0496),light-harvesting complex protein (pcbB),4,-0.13,2.04**,2.38**,3.78**,-3.70**
P9313_05911,conserved hypothetical protein,2,-0.15,0.06,1.09**,1.43**,-1.49**
P9313 05921,possible Gram-negative pili assembly,4,-0.09,1.77**,1.79**,2.02**,-1.25**
P9313_05941 (PMT0498),chaperone,30,-0.11,-1.74**,-2.07**,-1.96**,2.87**
P9313_05951 (PMT0499),ferritin,23,-0.05,1.20**,0.54,0.44,-0.12
P9313_06081 (PMT0510),GCN5-related N-acetyltransferase (riml),30,-0.06,-1.92**,-2.05**,-1.61**,1.28**
P9313 06881,conserved hypothetical protein,38,-0.04,0.75,1.04**,1.06**,-0.28
P9313_08511 (PMT0722)**,putative pantetheine-phosphate adenylyltransferase (coaD),2,-0.11,0.34,0.53,1.10**,-1.10**
P9313 08731,,4,0.05,0.94,0.43,0.87,-1.01**
P9313_09371 (PMT0801),flavodoxin (isiB),4,0.09,1.81**,1.79**,3.19**,-2.96**
P9313_09501,conserved hypothetical protein,14,0.16,-0.18,0.38,-2.46**,-0.14
P9313_09581 (PMT0820),conserved hypothetical protein,23,-0.03,1.25**,0.40,0.40,-0.10
P9313 09691,,1,-0.20,0.40,-0.16,1.11**,-0.18
P9313 09901,,4,-0.17,0.62,0.44,1.39**,-0.51
P9313_09911 (PMT0842),pyrimidine dimer DNA glycosylase,4,-0.07,1.73**,1.98**,2.71**,-2.91**
P9313_10101 (PMT0855),isochorismatase hydrolase family,4,-0.23,0.84,0.56,0.40,-1.32**
P9313_10111 (PMT0856),possible large-conductance mechanosensitive channel (mscL),4,-0.10,0.20,0.82,1.02**,-1.57**
P9313_10171 (PMT0861),uncharacterized protein conserved in bacteria,3,0.22,-0.21,0.17,0.81,-1.10**
P9313_10181 (PMT0862),predicted Fe-S oxidoreductases,4,-0.14,0.99,1.00**,1.03**,-1.21**
P9313 10851,conserved hypothetical protein,4,0.17,0.58,0.83,0.64,-1.40**
P9313_10901 (PMT0911),hypothetical,4,-0.03,1.04**,0.50,0.58,-0.66
P9313 10911,conserved hypothetical protein,2,-0.56,-0.22,0.99,1.52**,-0.97
P9313_10981 (PMT0916),hypothetical,18,-0.38,0.54,-0.40,-1.22**,-0.07
P9313 11171,,14,-0.01,-0.69,-0.25,-1.97**,-0.40
P9313 11641,,3,1.22**,-0.03,0.14,1.55**,-0.23
P9313_12191,,4,-0.17,0.26,0.61,0.88,-1.07**
P9313 12361,conserved hypothetical protein,4,0.29,0.54,0.81,1.28**,-0.60
P9313_12371 (PMT0992),possible high light inducible protein (hli7),4,-0.16,0.61,-0.07,1.08**,-2.78**
P9313 12381,,2,0.09,0.15,0.87,1.38**,-0.90
P9313 12581,conserved hypothetical protein,2,-0.03,0.26,0.88,1.43**,-0.13
P9313 12771,,38,-0.07,0.06,1.10**,0.53,-0.51
P9313_12781 (PMT1018),hypothetical,4,-0.07,0.60,0.41,1.39**,-0.87
P9313 12801,,4,-0.21,5.53**,4.01**,6.14**,-6.38**
P9313_12851 (PMT1019),conserved hypothetical protein,38,0.23,0.11,0.60,1.16**,-0.85
P9313 13161,Conserved hypothetical protein,8,0.06,1.69**,-0.23,0.14,-0.94
P9313 13251,Conserved hypothetical protein,35,0.65,0.17,-0.10,1.14**,0.12
P9313 13381,,18,0.15,1.54**,-0.09,-0.45,-0.21
P9313_13611,,26,0.06,-0.56,0.53,1.23**,-0.38
P9313_14621 (PMT1152),possible high light inducible protein (hli9),3,-0.16,0.05,-0.34,0.55,-1.29**
P9313_14641 (PMT1154),possible high light inducible protein (hli8),3,0.00,-0.18,-0.40,0.30,-1.45**
P9313 14861,cytochrome b6-F complex subunit VII,30,0.12,-1.31**,-0.65,-0.53,0.48
P9313_14961 (PMT1181),maf-like protein,30,-0.13,-0.87,-0.53,-1.04**,0.86
P9313_15141,conserved hypothetical protein,17,-0.67,-0.59,-0.47,-1.30**,0.61
(PMT1212)** P9313_15331,"conserved hypothetical protein (with homology to nitrogen regulatory protein P-II)",17,-0.06,-0.35,-0.53,-1.40**,0.37
P9313_15411 (PMT1220),possible photosystem I reaction centre subunit XII (psaM),30,0.14,-0.87,-0.41,-1.12**,0.92
P9313_16111 (PMT1277),hypothetical,4,0.29,0.97,0.98,1.77**,-1.43**
P9313_16231,conserved hypothetical protein,2,0.11,0.02,1.39**,1.95**,-2.18**
P9313 16241,conserved hypothetical protein,3,0.41,0.09,-0.15,1.24**,-0.94
P9313_16251 (PMT1288),conserved hypothetical,4,0.19,0.65,1.71**,1.92**,-2.25**
P9313 16611,guanylate kinase (gmk),30,-0.18,-1.44**,-0.78,-0.99,0.81
17651 P9313,conserved hypothetical protein,17,0.06,-0.76,-0.62,-1.23**,0.52
18001 P9313,,30,-0.17,-1.17**,-1.06**,-1.17**,0.98
P9313_18021,,35,0.15,-1.63**,-0.30,-0.01,0.51
P9313_18041 (PMT1429),2Fe-2S Ferredoxin:Ferredoxin (petF),30,0.01,-1.02**,-0.71,-0.84,1.27**
P9313_18941+,conserved hypothetical protein,30,-0.09,-0.98,-0.75,-1.40**,0.79
P9313 19161,conserved hypothetical protein,38,0.57,0.93,1.19**,2.13**,-1.07**
P9313 19261,conserved hypothetical protein,18,-0.33,1.23**,-0.10,-1.17**,-0.59
P9313 19501,conserved hypothetical protein,2,-0.05,-0.15,0.24,1.43**,-0.53
(PMT1554)** P9313_19551,pentapeptide repeats,4,-0.31,2.52**,2.49**,4.50**,-4.29**
P9313_19831 (PMT1570),conserved hypothetical protein,13,0.32,0.03,-0.25,-1.09**,0.01
P9313_19851 (PMT1572),conserved hypothetical protein,27,0.06,-0.81,-0.11,-1.50**,0.48
P9313 19981,conserved hypothetical protein,3,0.90,0.70,-0.38,1.06**,-0.22
P9313 20721,conserved hypothetical protein,3,0.86,0.33,0.20,1.19**,-0.13
P9313 20761,,3,-0.03,-0.80,0.04,0.55,-1.23**
P9313_21301,conserved hypothetical protein,38,-0.78,0.46,0.64,1.03**,-1.52**
P9313 21331,,17,-0.12,-0.28,-0.58,-1.04**,1.21**
P9313 21571,,13,-0.03,0.31,-0.41,-1.32**,0.21
P9313 21601,,39,0.09,-0.05,0.80,-1.06**,-0.19
P9313 22121,conserved hypothetical protein,16,0.07,-0.70,-0.83,-1.29**,0.45
P9313 22981,conserved hypothetical protein,16,0.37,-0.05,-0.24,-1.16**,0.79
P9313_23111 (PMT1827),hypothetical,17,-0.16,-0.04,-0.33,-1.06**,0.35
P9313 23481,,4,0.03,0.66,0.26,1.39**,-0.77
P9313_24261 (PMT1927),"putative glycosyl transferase, group 1",27,-0.24,-1.20**,-0.05,-0.43,0.04
P9313_24921,conserved hypothetical protein,35,0.29,-1.94**,-0.88,0.11,0.34
P9313 25471,,13,-0.26,0.15,-0.33,-1.38**,0.03
P9313 28041,,17,-0.18,-0.59,-0.48,-1.09**,1.17**
P9313 28051,conserved hypothetical protein,17,-0.11,-1.09**,-0.77,-1.39**,1.62**
P9313 28071,conserved hypothetical protein,17,0.11,-0.44,-0.57,-1.45**,0.59
P9313_28081 (PMT2240),formate and nitrite transporters,30,-0.31,-0.96,-0.66,-1.04**,1.00**
PMT ffs,,35,0.04,-2.02**,-0.09,1.01**,-0.25
tRNA-Ala2,,3,0.44,0.44,0.10,1.91**,-0.81
tRNA-Arg2,,3,0.45,-0.02,0.24,1.28**,-0.62
tRNA-Asn1,,35,-0.16,-2.62**,-0.74,-0.13,-0.26
tRNA-Glul,,2,-0.09,-0.06,0.06,1.02**,-0.46
tRNA-Leul,,35,-0.40,-1.25**,-0.63,-0.52,-0.72
tRNA-Thr3,,3,0.28,-0.02,0.12,1.63**,-0.98
ncRNA Yfr2-5 1,,1,-0.03,0.62,-1.20**,2.01**,-0.74
ncRNA Yfr7,,2,0.15,-0.18,-0.36,1.14**,-0.32

